id,ticker,timestamp,open,high,low,close,volume,turnover
5120618,AAPL,2023-07-10 00:00:00,187.79,188.52,185.565,187.14,59922163,11287115283.0
5120619,AAPL,2023-07-11 00:00:00,187.69,187.83,185.13,186.61,46638119,8759661163.0
5120620,AAPL,2023-07-12 00:00:00,188.21,190.23,187.0,188.3,60750248,11540034914.0
5120621,AAPL,2023-07-13 00:00:00,189.03,189.72,188.31,189.07,41342338,7878402087.0
5120622,AAPL,2023-07-14 00:00:00,188.76,189.71,188.16,189.22,41616242,7926488619.0
5120623,AAPL,2023-07-17 00:00:00,190.43,192.85,190.34,192.52,50520159,9765531212.0
5120624,AAPL,2023-07-18 00:00:00,191.88,192.86,190.945,192.26,48353774,9350718483.0
5120625,AAPL,2023-07-19 00:00:00,191.63,196.76,191.18,193.63,80507323,15692387503.0
5120626,AAPL,2023-07-20 00:00:00,193.62,195.0,191.025,191.66,59581196,11575197078.0
5120627,AAPL,2023-07-21 00:00:00,192.63,193.5,189.76,190.47,71951683,13858108871.0
5120628,AAPL,2023-07-24 00:00:00,191.94,193.44,190.78,191.28,45505097,8791635046.0
5120629,AAPL,2023-07-25 00:00:00,191.86,192.97,191.445,192.15,37283201,7225632409.0
5120630,AAPL,2023-07-26 00:00:00,192.2,194.17,191.85,193.03,47471868,9227283160.0
5120631,AAPL,2023-07-27 00:00:00,194.55,195.73,191.08,191.75,47460180,9248949247.0
5120632,AAPL,2023-07-28 00:00:00,193.2,195.156,192.67,194.36,48291443,9455676298.0
5120633,AAPL,2023-07-31 00:00:00,194.59,195.02,193.79,194.98,38824113,7615377757.0
5120634,AAPL,2023-08-01 00:00:00,194.765,195.26,193.81,194.135,35281426,6909819393.0
5120635,AAPL,2023-08-02 00:00:00,193.57,193.71,190.381,191.11,50389327,9722094128.0
5120636,AAPL,2023-08-03 00:00:00,190.1,190.9,189.22,189.7,62243282,11896631233.0
5120637,AAPL,2023-08-04 00:00:00,184.05,185.91,180.45,180.52,115956841,21368406220.0
5120638,AAPL,2023-08-07 00:00:00,180.66,181.66,175.88,177.38,97576069,17467491662.0
5120639,AAPL,2023-08-08 00:00:00,178.22,178.8,176.11,178.33,67823003,12139313310.0
5120640,AAPL,2023-08-09 00:00:00,179.4,179.46,175.54,176.72,60378492,10776878364.0
5120641,AAPL,2023-08-10 00:00:00,178.01,179.28,176.13,176.5,54686851,9777741321.0
5120642,AAPL,2023-08-11 00:00:00,176.09,177.39,175.32,176.56,52036672,9252196237.0
5120643,AAPL,2023-08-14 00:00:00,176.74,178.46,176.075,178.23,43675627,7815645066.0
5120644,AAPL,2023-08-15 00:00:00,177.65,178.25,175.82,176.22,43622593,7764339830.0
5120645,AAPL,2023-08-16 00:00:00,175.9,177.31,175.27,175.34,46964857,8333280488.0
5120646,AAPL,2023-08-17 00:00:00,175.91,176.275,172.25,172.77,66062882,11533637323.0
5120647,AAPL,2023-08-18 00:00:00,171.07,173.87,170.73,173.26,61172150,10636886645.0
5120648,AAPL,2023-08-21 00:00:00,173.84,174.9,172.505,174.61,46311879,8114901272.0
5120649,AAPL,2023-08-22 00:00:00,175.83,176.45,175.02,176.0,42084245,7449328742.0
5120650,AAPL,2023-08-23 00:00:00,177.29,180.32,177.095,179.89,52722752,9524269894.0
5120651,AAPL,2023-08-24 00:00:00,179.444,179.874,174.78,175.15,54945798,9764080735.0
5120652,AAPL,2023-08-25 00:00:00,176.15,177.92,174.59,177.38,51449594,9153270719.0
5120653,AAPL,2023-08-28 00:00:00,178.86,179.36,177.315,178.96,43820697,7872791164.0
5120654,AAPL,2023-08-29 00:00:00,178.465,183.67,178.27,182.89,53003948,9714572707.0
5120655,AAPL,2023-08-30 00:00:00,183.71,186.62,183.51,186.42,60813888,11367941727.0
5120656,AAPL,2023-08-31 00:00:00,186.61,187.89,186.25,186.64,60794467,11438412724.0
5120657,AAPL,2023-09-01 00:00:00,188.255,188.69,187.05,188.23,45766503,8651659830.0
5120658,AAPL,2023-09-05 00:00:00,187.05,188.75,186.38,188.47,45280027,8562834476.0
5120659,AAPL,2023-09-06 00:00:00,187.17,187.62,180.24,181.68,81755816,15025575582.0
5120660,AAPL,2023-09-07 00:00:00,173.95,176.98,172.31,176.33,112488803,19880537467.0
5120661,AAPL,2023-09-08 00:00:00,177.12,179.009,176.56,176.95,65602066,11747183026.0
5120662,AAPL,2023-09-11 00:00:00,178.84,179.07,176.11,178.13,58953052,10543548229.0
5120663,AAPL,2023-09-12 00:00:00,178.26,178.9,173.59,175.07,90370192,15968874122.0
5120664,AAPL,2023-09-13 00:00:00,175.28,176.07,172.75,172.98,84267928,14749853981.0
5120665,AAPL,2023-09-14 00:00:00,172.77,174.87,172.35,174.51,60895757,10679324925.0
5120666,AAPL,2023-09-15 00:00:00,175.25,175.265,172.59,173.78,109259461,19129620996.0
5120667,AAPL,2023-09-18 00:00:00,175.25,178.15,174.94,176.74,67257573,11964549739.0
5120668,AAPL,2023-09-19 00:00:00,176.29,178.4,175.9,177.84,51826941,9247447283.0
5120669,AAPL,2023-09-20 00:00:00,178.03,178.465,174.17,174.26,58436181,10341176451.0
5120670,AAPL,2023-09-21 00:00:00,173.32,175.07,172.63,172.7,63149116,11042545966.0
5120671,AAPL,2023-09-22 00:00:00,173.44,175.849,172.82,173.56,56725385,9953425368.0
5120672,AAPL,2023-09-25 00:00:00,172.97,175.74,172.92,174.85,46172740,8111001359.0
5120673,AAPL,2023-09-26 00:00:00,173.59,173.97,170.43,170.73,64588945,11155519842.0
5120674,AAPL,2023-09-27 00:00:00,171.39,171.81,167.82,169.2,66921808,11412411158.0
5120675,AAPL,2023-09-28 00:00:00,168.11,170.8,166.39,169.46,56294419,9586771327.0
5120676,AAPL,2023-09-29 00:00:00,170.79,171.84,169.111,169.98,51861083,8899345828.0
5120677,AAPL,2023-10-02 00:00:00,169.99,173.07,169.7,172.52,52164535,9039487493.0
5120678,AAPL,2023-10-03 00:00:00,171.025,172.4,169.59,171.17,49594613,8536928460.0
5120679,AAPL,2023-10-04 00:00:00,169.86,172.98,169.74,172.43,53020286,9169524070.0
5120680,AAPL,2023-10-05 00:00:00,172.56,174.22,171.45,173.68,48527918,8455005579.0
5120681,AAPL,2023-10-06 00:00:00,172.57,176.76,171.95,176.26,57266675,10098208460.0
5120682,AAPL,2023-10-09 00:00:00,175.58,177.82,174.57,177.76,42390772,7540013207.0
5120683,AAPL,2023-10-10 00:00:00,176.87,178.49,176.72,177.16,43731134,7808403086.0
5120684,AAPL,2023-10-11 00:00:00,176.97,178.62,176.37,178.57,47551098,8509281858.0
5120685,AAPL,2023-10-12 00:00:00,178.84,181.11,177.81,179.48,56743119,10267565654.0
5120686,AAPL,2023-10-13 00:00:00,180.19,180.7,176.91,177.62,51456082,9232014768.0
5120687,AAPL,2023-10-16 00:00:00,175.52,177.845,175.28,177.49,52516984,9355787388.0
5120688,AAPL,2023-10-17 00:00:00,175.415,177.19,173.57,175.92,57549350,10178307620.0
5120689,AAPL,2023-10-18 00:00:00,174.35,176.345,173.88,174.61,54764375,9657705730.0
5120690,AAPL,2023-10-19 00:00:00,174.81,176.61,173.96,174.23,59302863,10450004880.0
5120691,AAPL,2023-10-20 00:00:00,174.08,174.19,171.41,171.65,64244028,11162117993.0
5120692,AAPL,2023-10-23 00:00:00,169.68,172.78,168.7,171.77,55980109,9650014160.0
5120693,AAPL,2023-10-24 00:00:00,171.82,172.44,170.22,172.21,43816644,7568591887.0
5120694,AAPL,2023-10-25 00:00:00,170.65,171.83,169.42,169.87,57156962,9802028826.0
5120695,AAPL,2023-10-26 00:00:00,169.14,170.148,164.44,165.66,70625258,11836395528.0
5120696,AAPL,2023-10-27 00:00:00,165.68,167.73,165.6,166.99,58499129,9822417195.0
5120697,AAPL,2023-10-30 00:00:00,167.79,169.94,167.64,169.06,51130955,8696221782.0
5120698,AAPL,2023-10-31 00:00:00,168.12,169.67,166.67,169.54,44846017,7620470449.0
5120699,AAPL,2023-11-01 00:00:00,169.77,173.0,168.89,172.74,56934906,9828027542.0
5120700,AAPL,2023-11-02 00:00:00,174.29,176.55,174.23,176.34,77334752,13663478468.0
5120701,AAPL,2023-11-03 00:00:00,173.01,175.59,172.12,175.42,80058529,14016027397.0
5120702,AAPL,2023-11-06 00:00:00,175.15,178.2,174.98,178.0,63841310,11399432951.0
5120703,AAPL,2023-11-07 00:00:00,177.95,181.21,177.74,180.59,70529966,12784449186.0
5120704,AAPL,2023-11-08 00:00:00,181.12,182.22,180.36,181.66,49340282,9012329367.0
5120705,AAPL,2023-11-09 00:00:00,181.73,182.89,180.58,181.18,53763540,9833974804.0
5120706,AAPL,2023-11-10 00:00:00,182.98,185.575,182.54,185.41,66177922,12270073166.0
5120707,AAPL,2023-11-13 00:00:00,184.83,185.04,183.22,183.81,43627519,8063749807.0
5120708,AAPL,2023-11-14 00:00:00,186.71,187.12,185.31,186.45,60108378,11252518106.0
5120709,AAPL,2023-11-15 00:00:00,186.855,188.51,186.79,187.02,53790499,10135238347.0
5120710,AAPL,2023-11-16 00:00:00,188.58,189.97,187.66,188.72,54412915,10322722280.0
5120711,AAPL,2023-11-17 00:00:00,189.26,189.39,187.58,188.7,50941404,9658523097.0
5120712,AAPL,2023-11-20 00:00:00,188.9,190.915,188.89,190.46,46538614,8902764602.0
5120713,AAPL,2023-11-21 00:00:00,190.42,190.53,188.75,189.65,38134485,7265001964.0
5120714,AAPL,2023-11-22 00:00:00,190.5,191.94,189.835,190.32,39630011,7597957691.0
5120715,AAPL,2023-11-24 00:00:00,189.88,189.91,188.26,188.98,24048344,4564131083.0
5120716,AAPL,2023-11-27 00:00:00,188.93,189.68,187.91,188.8,40552609,7696743178.0
5120717,AAPL,2023-11-28 00:00:00,188.79,190.09,188.41,189.41,38415419,7305267292.0
5120718,AAPL,2023-11-29 00:00:00,189.91,191.1,187.98,188.38,43014224,8172589400.0
