Date,Symbol,Company,Type,Split Ratio
2024-11-26,KPDCF,Keppel DC REIT,Forward,1.00 for 1
2024-11-26,PBM,Psyence Biomedical Ltd.,Reverse,1 for 75.00
2024-11-25,CBDS,Cannabis Sativa,Forward,1.00 for 1
2024-11-25,APLM,Apollomics Inc.,Reverse,1 for 100.00
2024-11-25,GPUS,"Hyperscale Data, Inc.",Reverse,1 for 35.00
2024-11-25,PENMF,Peninsula Energy Limited,Reverse,1 for 20.00
2024-11-22,DFLI,Dragonfly Energy Holdings Corp,Reverse,1 for 9.00
2024-11-22,XTKG,"X3 Holdings Co., Ltd.",Reverse,1 for 20.00
2024-11-21,SSHPF,Vow Asa,Forward,1.00 for 1
2024-11-21,BDPT,Bioadaptives Inc,Reverse,1 for 300.00
2024-11-21,PRFX,Painreform Ltd.,Reverse,1 for 4.00
2024-11-21,NMHI,Nature's Miracle Holding Inc.,Reverse,1 for 30.00
2024-11-21,LAZR,Luminar Technologies Inc,Reverse,1 for 15.00
2024-11-21,BYOGF,Bounty Oil & Gas NL,Forward,1.00 for 1
2024-11-21,URCFF,Vanadian Energy Corp,Reverse,1 for 10.00
2024-11-20,LUXH,Luxurban Hotels Inc.,Reverse,1 for 70.00
2024-11-20,CBBHF,Cobalt Blue Holdings Ltd.,Forward,1.00 for 1
2024-11-20,JFBR,Jeffs' Brands Ltd.,Reverse,1 for 13.00
2024-11-20,IVIXF,Invion Ltd.,Reverse,1 for 100.00
2024-11-19,SOS,Sos Limited,Reverse,1 for 15.00
2024-11-19,WHLR,Wheeler Real Estate,Reverse,1 for 2.00
2024-11-19,LGMK,Logicmark Inc.,Reverse,1 for 25.00
2024-11-19,POLA,Polar Power,Reverse,1 for 7.00
2024-11-18,OBTEF,Orbital Corporation Limited,Forward,1.00 for 1
2024-11-18,UPC,Universe Pharmaceuticals Incorporation,Reverse,1 for 15.00
2024-11-18,BJDX,"Bluejay Diagnostics, Inc.",Reverse,1 for 50.00
2024-11-18,LIFW,"Msp Recovery, Inc.",Reverse,1 for 25.00
2024-11-18,SGN,"Signing Day Sports, Inc.",Reverse,1 for 48.00
2024-11-18,LEEEF,Leef Brands Inc,Reverse,1 for 10.00
2024-11-15,TKLF,Yoshitsu Co. Ltd. Sponsored ADR,Reverse,1 for 10.00
2024-11-15,TPET,Trio Petroleum Corp.,Reverse,1 for 20.00
2024-11-15,ADD,"Color Star Technology Co., Ltd.",Reverse,1 for 100.00
2024-11-15,PAANF,Pan American Energy Corp.,Reverse,1 for 10.00
2024-11-14,AKAN,Akanda Corp,Reverse,1 for 2.00
2024-11-14,INM,Inmed Pharmaceuticals Inc.,Reverse,1 for 20.00
2024-11-14,SPXCY,Singapore Exchange,Forward,0.13 for 1
2024-11-13,DNMR,"Danimer Scientific, Inc.",Reverse,1 for 40.00
2024-11-13,PCRCF,Bolt Metals Corp.,Forward,0.50 for 1
2024-11-12,PCLI,Protocall Technologies Incorporated,Reverse,1 for 100.00
2024-11-12,SISI,Shineco Inc,Reverse,1 for 24.00
2024-11-12,JTAI,Jet.Ai Inc.,Reverse,1 for 225.00
2024-11-12,IRCWF,IRC ,Forward,1.00 for 1
2024-11-11,FCEL,Fuelcell Energy,Reverse,1 for 30.00
2024-11-11,VLCN,"Volcon, Inc.",Reverse,1 for 8.00
2024-11-11,TRNR,Interactive Strength Inc,Reverse,1 for 100.00
2024-11-11,EFSH,1847 Holdings LLC,Reverse,1 for 15.00
2024-11-08,XHG,Xchange Tec.Inc Sponsored Adr Class A,Reverse,1 for 20.00
2024-11-08,LIPO,"Lipella Pharmaceuticals, Inc.",Reverse,1 for 8.00
2024-11-08,NMLSF,Restart Life Sciences Corp.,Reverse,1 for 5.00
2024-11-08,KNEOF,KNeoMedia Limited,Forward,0.75 for 1
2024-11-08,GPGC,Aurum Megametals Corp,Reverse,1 for 40.00
2024-11-08,SONX,Sonendo Inc,Reverse,1 for 200.00
2024-11-08,NORD,Nordicus Partners Corp,Reverse,1 for 10.00
2024-11-07,FIAC,Devvstream Corp,Reverse,1 for 1.03
2024-11-07,NDRA,Endra Life Sciences,Reverse,1 for 35.00
2024-11-07,KNEOF,KNeoMedia Limited,Forward,1.00 for 1
2024-11-07,ICLTD,Greenfirst Forest Products Inc.,Forward,1.00 for 1
2024-11-06,SCCO,Southern Copper Corp,Forward,0.99 for 1
2024-11-05,VCIG,VCI Global Limited,Reverse,1 for 49.00
2024-11-05,CMXC,"Stimcell Energetics, Inc.",Reverse,1 for 15.00
2024-11-05,QLGN,Qualigen Therapeutics Inc,Reverse,1 for 50.00
2024-11-05,AQMS,Aqua Metals Inc.,Reverse,1 for 20.00
2024-11-05,CMMCF,Oxe Marine Ab,Forward,1.00 for 1
2024-11-05,RDY,Dr. Reddy's Laboratories Ltd,Forward,0.20 for 1
2024-11-05,NVMLF,Aureka Limited,Reverse,1 for 500.00
2024-11-04,RGBP,"Regen Biopharma, Inc.",Forward,0.50 for 1
2024-11-04,NA,Nano Labs Ltd. Sponsored ADR Class A,Reverse,1 for 10.00
2024-11-04,GLT,Magnera Corporation,Reverse,1 for 13.00
2024-11-01,INNMF,Amplia Therapeutics Ltd.,Forward,1.00 for 1
2024-11-01,FGF,Fundamental Global Inc.,Reverse,1 for 25.00
2024-11-01,TRFE,"Polomar Health Services, Inc.",Reverse,1 for 10.00
2024-11-01,PVLTF,"Beijing Energy International Holding Co., Ltd.",Reverse,1 for 10.00
2024-10-31,GMHLF,GAM Holding AG,Forward,0.68 for 1
2024-10-31,STBX,Starbox Group Holdings Ltd.,Reverse,1 for 16.00
2024-10-30,KZR,Kezar Life Sciences,Reverse,1 for 10.00
2024-10-30,BYYLF,Balyo SA,Forward,1.00 for 1
2024-10-30,GMHLF,GAM Holding AG,Forward,1.00 for 1
2024-10-30,INCC,"International Consolidated Companies, Inc.",Reverse,1 for 2000.00
2024-10-30,FBSE,"Universal New Energy Holding Group, Inc.",Reverse,1 for 15.00
2024-10-30,TAMG,Logipix International Corp,Reverse,1 for 275.00
2024-10-30,NA,Nano Labs Ltd. Sponsored ADR Class A,Reverse,1 for 10.00
2024-10-29,MOVE,"Movano, Inc.",Reverse,1 for 15.00
2024-10-28,AHT,Ashford Hospitality Trust,Reverse,1 for 10.00
2024-10-28,UWHR,Uwharrie Capital Corp,Forward,0.98 for 1
2024-10-28,SVRE,SaverOne 2014 Ltd. ADR,Reverse,1 for 18.00
2024-10-28,KZIA,Kazia Therapeutics Limited,Reverse,1 for 10.00
2024-10-28,NTTIF,Novatti Group Ltd.,Forward,1.00 for 1
2024-10-28,ALBT,Avalon Globocare Corp.,Reverse,1 for 15.00
2024-10-25,TSE:MDCX,Medicus Pharma Ltd,Reverse,1 for 2.00
2024-10-25,KXIN,Kaixin Auto Holdings,Reverse,1 for 60.00
2024-10-25,AMIX,"Autonomix Medical, Inc.",Reverse,1 for 20.00
2024-10-24,CTNT,"Cheetah Net Supply Chain Service, Inc. Class A",Reverse,1 for 16.00
2024-10-24,NUKK,Nukkleus Inc.,Reverse,1 for 8.00
2024-10-23,KWE,Kwesst Micro Systems Inc,Reverse,1 for 10.00
2024-10-23,MURGY,Munchener Ruckversicherungs-Gesellschaft Aktiengesellschaft Unsponsored ADR,Forward,0.20 for 1
2024-10-22,NDENF,African Energy Metals Inc,Reverse,1 for 4.00
2024-10-22,ZCAR,Zoomcar Holdings Inc,Reverse,1 for 100.00
2024-10-18,SANW,S&W Seed,Reverse,1 for 19.00
2024-10-18,SNWV,Sanuwave Health Inc.,Reverse,1 for 375.00
2024-10-18,KTRA,"Tuhura Biosciences, Inc.",Reverse,1 for 35.00
2024-10-18,SDOT,Sadot Group Inc.,Reverse,1 for 10.00
2024-10-18,BIOR,Biora Therapeutics Inc.,Reverse,1 for 10.00
2024-10-18,EGRAF,Energy Resources of Australia Ltd. Class A,Forward,0.29 for 1
2024-10-17,NCNC,Noco-Noco Inc.,Reverse,1 for 50.00
2024-10-17,PEGY,"Sunation Energy, Inc.",Reverse,1 for 50.00
2024-10-17,PEGY,"Sunation Energy, Inc.",Reverse,1 for 50.00
2024-10-17,ICLTF,Greenfirst Forest Products Inc.,Reverse,1 for 10.00
2024-10-17,CGIUF,ESR-REIT,Forward,1.00 for 1
2024-10-16,MGRX,"Mangoceuticals, Inc.",Reverse,1 for 15.00
2024-10-16,AGBA,Triller Group Incorporation,Reverse,1 for 4.00
